Recency,Frequency,MonetaryValue,Length
81,1,1154890,1936
27,6,8019350,1943
25,1,10835000,1880
26,1,6120000,1881
19,2,22939400,1874
24,1,10538000,1879
30,1,6240000,1885
18,1,3640000,1873
28,1,660000,1883
31,1,10659000,1886
83,2,1350800,1938
22,1,598000,1877
25,1,1210000,1881
19,1,11605000,1874
60,1,1320000,1915
39,1,10010000,1894
27,1,11330000,1882
24,1,4030000,1879
22,2,22939400,1902
5,1,1379400,1860
39,1,6108000,1894
23,1,3740000,1878
27,1,1226500,1883
33,1,6240000,1888
59,1,957000,1915
24,2,22990000,1900
58,1,1320000,1914
18,1,11660000,1873
59,2,41184000,1914
21,1,1210000,1877
18,1,10560000,1873
31,1,6240000,1886
38,1,720000,1894
20,1,2560000,1875
27,1,708000,1882
21,1,726000,1877
46,1,4030000,1901
23,1,10780000,1878
26,1,1232000,1882
32,1,5880000,1887
25,1,6720000,1880
29,1,572000,1885
20,1,3640000,1875
20,1,4277000,1875
30,1,1210000,1885
85,2,1320000,1940
46,1,10010000,1901
43,2,1630700,1905
18,1,6120000,1873
62,1,390000,1917
24,1,11000000,1879
22,1,1232000,1878
24,1,10560000,1879
76,1,1232000,1931
26,1,6240000,1881
19,1,10780000,1874
22,1,5520000,1877
21,1,14740000,1876
33,1,6708000,1888
22,1,11000000,1877
43,1,10010000,1898
23,1,3225000,1878
56,7,3437600,1930
22,1,3000000,1877
26,1,1221000,1882
82,1,935000,1937
45,1,5868000,1900
64,1,600000,1919
19,1,6240000,1874
19,1,4875000,1874
37,1,10835000,1892
21,6,69495800,1910
36,1,4030000,1891
46,1,10010000,1901
24,2,22939400,1900
62,2,1650000,1937
66,1,715000,1921
18,1,11110000,1873
82,1,1210000,1937
7,1,1320000,1863
80,1,973500,1935
25,1,744000,1880
27,1,11000000,1882
34,1,6180000,1889
74,1,480000,1929
76,1,715000,1931
18,1,5200000,1873
22,1,336000,1877
36,1,10010000,1891
79,1,1210000,1934
39,1,5520000,1894
6,1,3965000,1861
46,1,11099000,1901
30,1,2560000,1885
23,16,12086448,1921
60,1,390000,1915
37,1,11000000,1892
83,2,1366200,1939
26,1,2560000,1881
24,1,1221000,1880
32,1,11033000,1887
19,1,6120000,1874
69,2,2640000,1924
27,1,11220000,1882
54,6,2259000,1911
24,1,3225000,1879
23,1,3640000,1878
19,1,11110000,1874
79,1,1210000,1934
2,2,18700000,1941
39,1,732000,1894
51,1,1738000,1906
18,1,6120000,1873
56,1,990000,1912
70,1,880000,1926
19,1,11099000,1874
32,1,5880000,1887
25,1,2560000,1880
26,1,6240000,1881
30,1,10450000,1885
16,7,7846450,1923
75,1,803000,1930
21,1,1210000,1877
81,1,1210000,1936
9,1,5340000,1864
20,1,1265000,1876
22,1,11099000,1877
2,3,50985000,1941
29,1,6720000,1884
31,1,6120000,1886
29,1,6180000,1884
19,2,22990000,1874
65,1,390000,1920
19,1,6120000,1874
5,14,10018800,1941
31,1,6708000,1886
38,1,10010000,1893
78,1,275000,1933
24,1,3780000,1879
62,1,935000,1917
73,1,474000,1928
30,1,6240000,1885
88,1,720000,1944
23,1,10560000,1878
40,1,12969000,1895
52,1,596700,1907
21,1,1210000,1877
25,1,11220000,1880
29,1,11440000,1884
62,1,768900,1917
19,1,12210000,1874
30,1,10285000,1885
19,3,5110500,1886
19,1,10560000,1874
41,1,11099000,1896
3,40,19878100,1941
30,1,5640000,1885
19,1,4615000,1874
57,1,555000,1912
79,1,715000,1934
29,1,6720000,1884
63,1,1210000,1918
82,1,11110000,1937
18,1,10010000,1873
85,1,490000,1940
43,1,11000000,1898
15,2,2803900,1913
22,1,5700000,1877
82,1,1210000,1937
6,2,2225000,1908
19,1,10560000,1874
19,1,11770000,1874
20,1,5520000,1875
67,1,492000,1922
43,1,596700,1898
61,2,1226500,1921
25,1,10670000,1880
84,1,480000,1939
24,1,10538000,1879
17,4,3755500,1894
32,1,10560000,1887
43,3,2829700,1905
32,1,6240000,1887
45,1,6108000,1900
38,1,10615000,1893
60,1,1199000,1915
20,1,11000000,1875
17,4,7126600,1881
27,1,10560000,1882
23,1,11099000,1878
77,1,715000,1932
18,1,10175000,1873
88,1,1210000,1944
23,1,11660000,1878
18,5,22077000,1873
89,1,1265000,1944
54,4,2254000,1911
62,2,3245000,1930
20,1,4810000,1875
27,1,10538000,1882
81,1,748000,1936
30,1,6240000,1885
88,1,1232000,1944
82,1,768900,1937
83,2,1686000,1941
30,1,19855000,1885
19,1,13585000,1874
38,1,4225000,1893
52,2,1895000,1907
2,2,13310000,1878
23,1,1210000,1879
66,2,1811000,1929
29,1,11605000,1884
22,2,22554400,1903
27,1,27196000,1882
27,1,2560000,1882
4,1,1900800,1859
7,1,1320000,1863
25,1,596700,1880
29,1,4810000,1884
24,1,1265000,1880
26,1,10230000,1881
27,1,5520000,1882
83,1,312000,1938
23,1,5640000,1878
23,1,1210000,1878
33,1,11000000,1888
42,4,3621000,1939
24,1,10450000,1879
80,1,1155000,1935
65,1,869000,1920
85,1,726000,1940
36,1,1155000,1891
83,1,1012000,1939
26,2,11220000,1881
38,1,6360000,1893
18,1,11099000,1873
84,1,858000,1939
66,1,720500,1921
45,1,3640000,1900
62,3,1435192,1933
22,1,10560000,1877
11,6,6193547,1930
74,1,715000,1930
59,2,1751000,1937
37,1,11000000,1892
24,1,4030000,1879
18,1,6120000,1873
25,1,6060000,1880
23,1,11099000,1878
24,1,4277000,1879
84,1,1210000,1940
27,1,1210000,1882
20,1,10010000,1875
18,1,11099000,1873
7,3,4246000,1911
65,3,1464000,1933
30,1,6240000,1885
24,1,1221000,1880
19,1,11099000,1874
25,1,870000,1880
85,1,715000,1941
29,1,3150000,1884
85,1,490000,1940
29,1,5880000,1884
18,1,13750000,1873
81,1,2253900,1937
39,1,6120000,1894
24,1,804000,1879
88,1,1232000,1943
45,1,5520000,1900
65,2,2046000,1937
20,1,12210000,1875
33,1,6000000,1888
43,1,596700,1898
24,2,22939400,1900
22,1,10890000,1877
29,1,3150000,1884
19,1,6120000,1874
63,1,787710,1918
61,1,726000,1917
18,1,11660000,1873
24,1,6240000,1879
24,1,11330000,1879
9,1,247280,1864
25,1,1250000,1881
40,1,11099000,1895
12,1,3900000,1867
69,2,1581547,1936
81,1,836000,1936
19,1,720000,1875
19,1,10560000,1874
27,1,10780000,1882
89,1,682000,1945
30,1,4030000,1885
32,1,6708000,1887
29,1,4680000,1884
46,1,6120000,1901
40,2,1728000,1900
19,1,11495000,1874
37,1,4030000,1892
24,1,6120000,1879
82,1,748000,1937
33,1,696000,1888
78,1,803000,1933
24,1,11055000,1879
29,1,4810000,1884
22,1,5880000,1877
22,2,22939400,1903
19,1,5520000,1874
19,1,3640000,1874
32,1,6180000,1887
19,1,1210000,1875
26,1,1210000,1881
37,1,6120000,1893
29,1,2560000,1884
23,1,1232000,1879
63,1,1776500,1918
79,2,867350,1934
29,1,6000000,1884
